1;Математика;matem
2;Русский язык;russyaz
3;Иностранный язык (английский);eng
4;Иностранный язык (немецкий);nem
5;Иностранный язык (французский);franc
6;Иностранный язык (итальянский);ital
7;Иностранный язык (испанский);ispan
8;Иностранный язык (китайский);kit
9;Иностранный язык (японский);yapan
10;История;ist
11;Обществознание;ob
12;Литература;lit
13;Теория и практика менеджмента;tmen
14;Теория и практика государственного  муниципального управления;tpgmu
15;Теория и практика экономики;tpeconom
16;Мировая политика, теория и история международных отношений;mptimo
17;Основы  рекламы и связей с общественностью;orso
18;Основы журналистики;ozhur
19;Русский язык и культура речи;russyazkr
20;Современный русский язык;sryaz
21;Зарубежная литература;zarublit
22;Философия;fil
23;Политические институты, процессы и технологии;pipt
24;Общая педагогика, история педагогики и образования;opipo
25;Теория и методика обучения и воспитания;tmov
26;Литераутра народов стран зарубежья;lnsz
27;Германские языки;gyaz
28;Романские языки;romyaz
29;Сравнительно-историческое, типологическое и сопоставительное языкознание;sitsyz
30;Всеобщая история;vist
31;Социальная философия;socfil
32;Теоретические основы информатики;toi
33;Педагогическая психология;pp
34;Политические проблемы международных отношений, глобального и регионального развития;ppmogrr
35;Теория и методика профессионального образования;tmpo
36;Русская литература;ruslit
37;Теория языка;teoryaz
38;История философии;istfil
39;Первый иностранный язык (англ. Л);pinyaz1
40;Первый иностранный язык (англ. ПО);pinyaz2
41;Первый иностранный язык (англ. УП, СП, МПП);pinyaz3
42;Первый иностранный язык (нем. Л, ПО);pinyaz4
43;Первый иностранный язык (нем. СПП);pinyaz5
44;Первый иностранный язык (нем. УП, СП, МПП);pinyaz6
45;Первый иностранный язык (франц. Л, ПО);pinyaz7
46;Первый иностранный язык (франц. СПП);pinyaz8
47;Первый  иностранный язык (франц. УП, СП, МПП);pinyaz9
48;Первый иностранный язык (кит. );pinyaz10
49;Иностранный язык (устно);inyazu
50;Иностранный язык (письменно);inyazp
51;Герман ские языки (английская филология);gyazeng
52;Герман ские языки (немецкая филология);gyaznem
53;История культуры;istkult
